Country Code,Year,Expense (% of GDP),Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),"Services, value added (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),Merchandise trade (% of GDP),"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Forest rents (% of GDP),Current account balance (% of GDP),Current health expenditure (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)",Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (annual % growth)",Total greenhouse gas emissions (% change from 1990)
EUU,2019,37.0325487,47.14509929,3.505119314,1.624332035,1.574185915,1.554264954,65.54044754,19.91047636,90.78507927,72.61759457,51.18058647,21.97180338,25.47094712,0.06105188471,87.93671907,0.5080669028,1.624031749,34.76790054,78.38411799,0.6628262492,91.29555443
AUT,1975,31.10847724,28.09463625,-0.4098618506,0.1974826922,0.06447955935,-0.3637354341,56.39131014,18.01092541,56.59913435,42.22000725,5.127960205,27.15860963,26.58247733,0.2911233011,1.934642666,25.77668749,76.00717594,51.27676039,38.62315331,75.83043103,1.043726152
AUT,1976,31.61915691,28.75252685,-2.411228784,0.2123604527,0.1308427167,4.578445433,49.60392127,17.86233232,59.91628249,46.62246528,5.237659931,28.51178161,25.70158784,0.3237282579,83.85204591,52.96322319,5.106318914,12.99193769,38.55049649,92.94191885,28.08345834
AUT,1977,31.41366145,27.95395681,-4.369682772,0.1878137059,0.1670360508,5.079980594,50.52802293,17.9992932,60.27759639,46.66339291,4.95401001,29.70124134,25.00124896,0.2427298703,25.91941132,93.42022786,4.410135604,23.9718274,38.47905062,-2.216170998,81.31176761
AUT,1978,33.8517494,29.11509236,-1.43780253,0.2294678745,0.1447328451,-0.2106536952,50.52671771,18.77754974,59.66798724,45.43589616,5.159790039,26.52774813,26.21651671,0.2562462221,50.98123858,45.51882963,4.41461438,80.01628816,38.51780092,1.350689299,98.63889147
AUT,1979,33.32242332,30.88077553,-1.555668513,0.2534985829,0.1147729272,5.3566999,51.68574911,18.55011633,63.31721956,48.32878867,5.038159847,29.34455986,26.70849863,0.2750571108,23.96431418,15.05187723,4.288925793,40.38974892,38.05885202,3.211774707,66.66765567
AUT,1980,33.47394154,31.69307154,-3.438862533,0.2916197537,0.1227410848,1.731485595,51.59590594,18.57800458,66.82500562,51.10109124,5.008969784,28.78083062,26.01192014,0.2730874318,60.56243612,72.04111083,4.326402537,38.12770434,38.03584403,-2.253817193,90.30119358
AUT,1981,34.56544371,33.00066134,-2.395226682,0.4610734954,0.2969554321,-0.1442946906,52.20077802,18.94982565,68.39654936,51.92426357,5.367809772,26.92647655,24.5770359,0.2712265322,7.058310429,60.02803106,3.966934702,14.69402243,38.21022039,-3.800920887,3.191190526
AUT,1982,34.99663509,31.74149644,-0.6341208294,0.2917140107,0.1954394079,2.011254708,53.44495348,18.1904204,64.11711371,49.30741243,5.362989902,24.58013059,24.00374065,0.2450912592,27.46505262,1.440655039,3.646038873,12.21951687,38.05643013,6.757958086,28.96414354
AUT,1983,35.41600129,30.47819854,-1.51578745,0.2996629975,0.2615465076,2.97308803,54.00409201,18.03258878,62.47218452,48.32155961,5.303780079,23.04242392,22.78479215,0.2138420914,12.94539966,2.638677599,3.412209287,57.07318318,36.64204408,-3.454714348,1.206068231
